4,Web Development,"HTML CSS JavaScript and client-server interactions",4,List of 10 web development questions,07/09/2025
1,"What does HTML stand for?",a,E,"HyperText Markup Language","HighText Machine Language","HyperTool Multi Language","Home Tool Markup Language"
2,"Which language is used to style web pages?",b,E,"HTML","CSS","JavaScript","PHP"
3,"Which HTML tag is used to create a hyperlink?",c,E,"<link>","<url>","<a>","<href>"
4,"What does CSS stand for?",d,E,"Creative Style Sheets","Colorful Style Sheets","Computer Style Sheets","Cascading Style Sheets"
5,"Which JavaScript keyword is used to declare a variable?",a,M,"let","varies","define","constant"
6,"What does HTTP stand for?",b,M,"HyperText Transfer Program","HyperText Transfer Protocol","High Transfer Text Protocol","Hyperlink Transfer Protocol"
7,"Which method is used to send data securely in a web form?",c,M,"GET","FETCH","POST","SEND"
8,"What is the purpose of cookies in web development?",d,M,"To style pages","To store scripts","To validate HTML","To store user data"
9,"Which technology allows dynamic content updates without refreshing the page?",a,M,"AJAX","HTML","CSS","SQL"
10,"What does REST stand for in web services?",b,H,"Remote Execution Standard Technique","Representational State Transfer","Resource State Transfer","Reliable Service Transmission"
